section,a1,a2,a3,a4,a5,a6,a7
COLUMNS,auth,refresh_tokens_instance_id_idx,instance_id,uuid,YES,null,null
COLUMNS,auth,refresh_tokens_instance_id_user_id_idx,instance_id,uuid,YES,null,null
COLUMNS,auth,refresh_tokens_instance_id_user_id_idx,user_id,character varying(255),YES,null,null
COLUMNS,auth,refresh_tokens_parent_idx,parent,character varying(255),YES,null,null
COLUMNS,auth,refresh_tokens_pkey,id,bigint,YES,null,null
COLUMNS,auth,refresh_tokens_session_id_revoked_idx,revoked,boolean,YES,null,null
COLUMNS,auth,refresh_tokens_session_id_revoked_idx,session_id,uuid,YES,null,null
COLUMNS,auth,refresh_tokens_token_unique,token,character varying(255),YES,null,null
COLUMNS,auth,refresh_tokens_updated_at_idx,updated_at,timestamp with time zone,YES,null,null
COLUMNS,auth,saml_providers,attribute_mapping,jsonb,YES,null,null
COLUMNS,auth,saml_providers,created_at,timestamp with time zone,YES,null,null
COLUMNS,auth,saml_providers,entity_id,text,NO,null,null
COLUMNS,auth,saml_providers,id,uuid,NO,null,null
COLUMNS,auth,saml_providers,metadata_url,text,YES,null,null
COLUMNS,auth,saml_providers,metadata_xml,text,NO,null,null
COLUMNS,auth,saml_providers,name_id_format,text,YES,null,null
COLUMNS,auth,saml_providers,sso_provider_id,uuid,NO,null,null
COLUMNS,auth,saml_providers,updated_at,timestamp with time zone,YES,null,null
COLUMNS,auth,saml_providers_entity_id_key,entity_id,text,YES,null,null
COLUMNS,auth,saml_providers_pkey,id,uuid,YES,null,null
COLUMNS,auth,saml_providers_sso_provider_id_idx,sso_provider_id,uuid,YES,null,null
COLUMNS,auth,saml_relay_states,created_at,timestamp with time zone,YES,null,null
COLUMNS,auth,saml_relay_states,flow_state_id,uuid,YES,null,null
COLUMNS,auth,saml_relay_states,for_email,text,YES,null,null
COLUMNS,auth,saml_relay_states,id,uuid,NO,null,null
COLUMNS,auth,saml_relay_states,redirect_to,text,YES,null,null
COLUMNS,auth,saml_relay_states,request_id,text,NO,null,null
COLUMNS,auth,saml_relay_states,sso_provider_id,uuid,NO,null,null
COLUMNS,auth,saml_relay_states,updated_at,timestamp with time zone,YES,null,null
COLUMNS,auth,saml_relay_states_created_at_idx,created_at,timestamp with time zone,YES,null,null
COLUMNS,auth,saml_relay_states_for_email_idx,for_email,text,YES,null,null
COLUMNS,auth,saml_relay_states_pkey,id,uuid,YES,null,null
COLUMNS,auth,saml_relay_states_sso_provider_id_idx,sso_provider_id,uuid,YES,null,null
COLUMNS,auth,schema_migrations,version,character varying(255),NO,null,null
COLUMNS,auth,schema_migrations_pkey,version,character varying(255),YES,null,null
COLUMNS,auth,sessions,aal,auth.aal_level,YES,null,null
COLUMNS,auth,sessions,created_at,timestamp with time zone,YES,null,null
COLUMNS,auth,sessions,factor_id,uuid,YES,null,null
COLUMNS,auth,sessions,id,uuid,NO,null,null
COLUMNS,auth,sessions,ip,inet,YES,null,null
COLUMNS,auth,sessions,not_after,timestamp with time zone,YES,null,null
COLUMNS,auth,sessions,oauth_client_id,uuid,YES,null,null
COLUMNS,auth,sessions,refresh_token_counter,bigint,YES,null,null
COLUMNS,auth,sessions,refresh_token_hmac_key,text,YES,null,null
COLUMNS,auth,sessions,refreshed_at,timestamp without time zone,YES,null,null
COLUMNS,auth,sessions,scopes,text,YES,null,null
COLUMNS,auth,sessions,tag,text,YES,null,null
COLUMNS,auth,sessions,updated_at,timestamp with time zone,YES,null,null
COLUMNS,auth,sessions,user_agent,text,YES,null,null
COLUMNS,auth,sessions,user_id,uuid,NO,null,null
COLUMNS,auth,sessions_not_after_idx,not_after,timestamp with time zone,YES,null,null
COLUMNS,auth,sessions_oauth_client_id_idx,oauth_client_id,uuid,YES,null,null
COLUMNS,auth,sessions_pkey,id,uuid,YES,null,null
COLUMNS,auth,sessions_user_id_idx,user_id,uuid,YES,null,null
COLUMNS,auth,sso_domains,created_at,timestamp with time zone,YES,null,null
COLUMNS,auth,sso_domains,domain,text,NO,null,null
COLUMNS,auth,sso_domains,id,uuid,NO,null,null
COLUMNS,auth,sso_domains,sso_provider_id,uuid,NO,null,null
COLUMNS,auth,sso_domains,updated_at,timestamp with time zone,YES,null,null
COLUMNS,auth,sso_domains_domain_idx,lower,text,YES,null,null
COLUMNS,auth,sso_domains_pkey,id,uuid,YES,null,null
COLUMNS,auth,sso_domains_sso_provider_id_idx,sso_provider_id,uuid,YES,null,null
COLUMNS,auth,sso_providers,created_at,timestamp with time zone,YES,null,null
COLUMNS,auth,sso_providers,disabled,boolean,YES,null,null
COLUMNS,auth,sso_providers,id,uuid,NO,null,null
COLUMNS,auth,sso_providers,resource_id,text,YES,null,null
COLUMNS,auth,sso_providers,updated_at,timestamp with time zone,YES,null,null
COLUMNS,auth,sso_providers_pkey,id,uuid,YES,null,null
COLUMNS,auth,sso_providers_resource_id_idx,lower,text,YES,null,null
COLUMNS,auth,sso_providers_resource_id_pattern_idx,resource_id,text,YES,null,null
COLUMNS,auth,unique_phone_factor_per_user,phone,text,YES,null,null
COLUMNS,auth,unique_phone_factor_per_user,user_id,uuid,YES,null,null
COLUMNS,auth,user_id_created_at_idx,created_at,timestamp with time zone,YES,null,null
COLUMNS,auth,user_id_created_at_idx,user_id,uuid,YES,null,null
COLUMNS,auth,users,aud,character varying(255),YES,null,null
COLUMNS,auth,users,banned_until,timestamp with time zone,YES,null,null
COLUMNS,auth,users,confirmation_sent_at,timestamp with time zone,YES,null,null
COLUMNS,auth,users,confirmation_token,character varying(255),YES,null,null
COLUMNS,auth,users,confirmed_at,timestamp with time zone,YES,"LEAST(email_confirmed_at, phone_confirmed_at)",GENERATED
COLUMNS,auth,users,created_at,timestamp with time zone,YES,null,null
COLUMNS,auth,users,deleted_at,timestamp with time zone,YES,null,null
COLUMNS,auth,users,email,character varying(255),YES,null,null
COLUMNS,auth,users,email_change,character varying(255),YES,null,null
COLUMNS,auth,users,email_change_confirm_status,smallint,YES,0,null
COLUMNS,auth,users,email_change_sent_at,timestamp with time zone,YES,null,null
COLUMNS,auth,users,email_change_token_current,character varying(255),YES,''::character varying,null
COLUMNS,auth,users,email_change_token_new,character varying(255),YES,null,null
COLUMNS,auth,users,email_confirmed_at,timestamp with time zone,YES,null,null
COLUMNS,auth,users,encrypted_password,character varying(255),YES,null,null
COLUMNS,auth,users,id,uuid,NO,null,null
COLUMNS,auth,users,instance_id,uuid,YES,null,null
COLUMNS,auth,users,invited_at,timestamp with time zone,YES,null,null
COLUMNS,auth,users,is_anonymous,boolean,NO,false,null
COLUMNS,auth,users,is_sso_user,boolean,NO,false,null
COLUMNS,auth,users,is_super_admin,boolean,YES,null,null
COLUMNS,auth,users,last_sign_in_at,timestamp with time zone,YES,null,null
COLUMNS,auth,users,phone,text,YES,NULL::character varying,null
COLUMNS,auth,users,phone_change,text,YES,''::character varying,null
COLUMNS,auth,users,phone_change_sent_at,timestamp with time zone,YES,null,null
COLUMNS,auth,users,phone_change_token,character varying(255),YES,''::character varying,null
COLUMNS,auth,users,phone_confirmed_at,timestamp with time zone,YES,null,null
COLUMNS,auth,users,raw_app_meta_data,jsonb,YES,null,null
COLUMNS,auth,users,raw_user_meta_data,jsonb,YES,null,null
COLUMNS,auth,users,reauthentication_sent_at,timestamp with time zone,YES,null,null
COLUMNS,auth,users,reauthentication_token,character varying(255),YES,''::character varying,null
COLUMNS,auth,users,recovery_sent_at,timestamp with time zone,YES,null,null
COLUMNS,auth,users,recovery_token,character varying(255),YES,null,null
COLUMNS,auth,users,role,character varying(255),YES,null,null
COLUMNS,auth,users,updated_at,timestamp with time zone,YES,null,null
COLUMNS,auth,users_email_partial_key,email,character varying(255),YES,null,null
COLUMNS,auth,users_instance_id_email_idx,instance_id,uuid,YES,null,null
COLUMNS,auth,users_instance_id_email_idx,lower,text,YES,null,null
COLUMNS,auth,users_instance_id_idx,instance_id,uuid,YES,null,null
COLUMNS,auth,users_is_anonymous_idx,is_anonymous,boolean,YES,null,null
COLUMNS,auth,users_phone_key,phone,text,YES,null,null
COLUMNS,auth,users_pkey,id,uuid,YES,null,null
COLUMNS,graphql,seq_schema_version,is_called,boolean,NO,null,null
COLUMNS,graphql,seq_schema_version,last_value,bigint,NO,null,null
COLUMNS,graphql,seq_schema_version,log_cnt,bigint,NO,null,null
COLUMNS,public,category_templates,category_id,uuid,NO,null,null
COLUMNS,public,category_templates,global_template_id,uuid,NO,null,null
COLUMNS,public,category_templates_pkey,category_id,uuid,YES,null,null
COLUMNS,public,category_templates_pkey,global_template_id,uuid,YES,null,null
COLUMNS,public,global_templates,archived_at,timestamp with time zone,YES,null,null
COLUMNS,public,global_templates,checklist_json,jsonb,YES,null,null
COLUMNS,public,global_templates,description,text,YES,null,null
COLUMNS,public,global_templates,id,uuid,NO,uuid_generate_v4(),null
COLUMNS,public,global_templates,interval_days,integer,YES,null,null
COLUMNS,public,global_templates,title,text,NO,null,null
COLUMNS,public,global_templates_pkey,id,uuid,YES,null,null
COLUMNS,public,group_memberships,created_at,timestamp with time zone,NO,now(),null
COLUMNS,public,group_memberships,group_id,uuid,NO,null,null
COLUMNS,public,group_memberships,user_id,uuid,NO,null,null
COLUMNS,public,group_memberships_pkey,group_id,uuid,YES,null,null
COLUMNS,public,group_memberships_pkey,user_id,uuid,YES,null,null
COLUMNS,public,group_templates,active,boolean,NO,true,null
COLUMNS,public,group_templates,archived_at,timestamp with time zone,YES,null,null
COLUMNS,public,group_templates,checklist_json,jsonb,YES,null,null
COLUMNS,public,group_templates,description,text,YES,null,null
COLUMNS,public,group_templates,group_id,uuid,NO,null,null
COLUMNS,public,group_templates,id,uuid,NO,uuid_generate_v4(),null
COLUMNS,public,group_templates,interval_days,integer,YES,null,null
COLUMNS,public,group_templates,origin_global_template_id,uuid,YES,null,null
COLUMNS,public,group_templates,title,text,NO,null,null
COLUMNS,public,group_templates_pkey,id,uuid,YES,null,null
COLUMNS,public,groups,archived_at,timestamp with time zone,YES,null,null
COLUMNS,public,groups,created_at,timestamp with time zone,NO,now(),null
COLUMNS,public,groups,id,uuid,NO,uuid_generate_v4(),null
COLUMNS,public,groups,name,text,NO,null,null
COLUMNS,public,groups,parent_group_id,uuid,YES,null,null
COLUMNS,public,groups_pkey,id,uuid,YES,null,null
COLUMNS,public,idx_groups_parent_group_id,parent_group_id,uuid,YES,null,null
COLUMNS,public,roles,id,uuid,NO,uuid_generate_v4(),null
COLUMNS,public,roles,name,text,NO,null,null
COLUMNS,public,roles_name_key,name,text,YES,null,null
COLUMNS,public,roles_pkey,id,uuid,YES,null,null
COLUMNS,public,template_categories,archived_at,timestamp with time zone,YES,null,null
COLUMNS,public,template_categories,description,text,YES,null,null
COLUMNS,public,template_categories,id,uuid,NO,uuid_generate_v4(),null
COLUMNS,public,template_categories,name,text,NO,null,null
COLUMNS,public,template_categories_pkey,id,uuid,YES,null,null
COLUMNS,public,user_roles,role_id,uuid,NO,null,null
COLUMNS,public,user_roles,user_id,uuid,NO,null,null
COLUMNS,public,user_roles_pkey,user_id,uuid,YES,null,null
COLUMNS,public,yacht_owners,user_id,uuid,NO,null,null
COLUMNS,public,yacht_owners,yacht_id,uuid,NO,null,null
COLUMNS,public,yacht_owners_pkey,user_id,uuid,YES,null,null
COLUMNS,public,yacht_owners_pkey,yacht_id,uuid,YES,null,null
COLUMNS,public,yacht_tasks,approved_at,timestamp with time zone,YES,null,null
COLUMNS,public,yacht_tasks,approved_by,uuid,YES,null,null
COLUMNS,public,yacht_tasks,checklist_json,jsonb,YES,null,null
COLUMNS,public,yacht_tasks,completed_at,timestamp with time zone,YES,null,null
COLUMNS,public,yacht_tasks,completed_by,uuid,YES,null,null
COLUMNS,public,yacht_tasks,created_at,timestamp with time zone,NO,now(),null
COLUMNS,public,yacht_tasks,deleted_at,timestamp with time zone,YES,null,null
COLUMNS,public,yacht_tasks,description,text,YES,null,null
COLUMNS,public,yacht_tasks,due_date,timestamp with time zone,YES,null,null
COLUMNS,public,yacht_tasks,group_template_id,uuid,YES,null,null
COLUMNS,public,yacht_tasks,id,uuid,NO,uuid_generate_v4(),null
COLUMNS,public,yacht_tasks,interval_days,integer,YES,null,null
COLUMNS,public,yacht_tasks,origin_global_template_id,uuid,YES,null,null
COLUMNS,public,yacht_tasks,owner_user_id,uuid,YES,null,null
COLUMNS,public,yacht_tasks,status,text,NO,null,null
COLUMNS,public,yacht_tasks,title,text,NO,null,null
COLUMNS,public,yacht_tasks,yacht_id,uuid,NO,null,null
COLUMNS,public,yacht_tasks_pkey,id,uuid,YES,null,null
COLUMNS,public,yacht_tasks_unique_open_per_yacht_global_template,origin_global_template_id,uuid,YES,null,null
COLUMNS,public,yacht_tasks_unique_open_per_yacht_global_template,yacht_id,uuid,YES,null,null
COLUMNS,public,yacht_tasks_unique_open_per_yacht_group_template,group_template_id,uuid,YES,null,null
COLUMNS,public,yacht_tasks_unique_open_per_yacht_group_template,yacht_id,uuid,YES,null,null
COLUMNS,public,yachts,archived_at,timestamp with time zone,YES,null,null
COLUMNS,public,yachts,group_id,uuid,NO,null,null
COLUMNS,public,yachts,id,uuid,NO,uuid_generate_v4(),null
COLUMNS,public,yachts,name,text,NO,null,null
COLUMNS,public,yachts_pkey,id,uuid,YES,null,null
COLUMNS,realtime,ix_realtime_subscription_entity,entity,regclass,YES,null,null
COLUMNS,realtime,messages,event,text,YES,null,null
COLUMNS,realtime,messages,extension,text,NO,null,null
COLUMNS,realtime,messages,id,uuid,NO,gen_random_uuid(),null
COLUMNS,realtime,messages,inserted_at,timestamp without time zone,NO,now(),null
COLUMNS,realtime,messages,payload,jsonb,YES,null,null
COLUMNS,realtime,messages,private,boolean,YES,false,null
COLUMNS,realtime,messages,topic,text,NO,null,null
COLUMNS,realtime,messages,updated_at,timestamp without time zone,NO,now(),null
COLUMNS,realtime,messages_inserted_at_topic_index,inserted_at,timestamp without time zone,YES,null,null
COLUMNS,realtime,messages_inserted_at_topic_index,topic,text,YES,null,null
COLUMNS,realtime,messages_pkey,id,uuid,YES,null,null
COLUMNS,realtime,messages_pkey,inserted_at,timestamp without time zone,YES,null,null
COLUMNS,realtime,pk_subscription,id,bigint,YES,null,null
COLUMNS,realtime,schema_migrations,inserted_at,timestamp(0) without time zone,YES,null,null
COLUMNS,realtime,schema_migrations,version,bigint,NO,null,null
COLUMNS,realtime,schema_migrations_pkey,version,bigint,YES,null,null
COLUMNS,realtime,subscription,action_filter,text,YES,'*'::text,null
COLUMNS,realtime,subscription,claims,jsonb,NO,null,null
COLUMNS,realtime,subscription,claims_role,regrole,NO,realtime.to_regrole((claims ->> 'role'::text)),GENERATED
COLUMNS,realtime,subscription,created_at,timestamp without time zone,NO,"timezone('utc'::text, now())",null
COLUMNS,realtime,subscription,entity,regclass,NO,null,null
COLUMNS,realtime,subscription,filters,realtime.user_defined_filter[],NO,'{}'::realtime.user_defined_filter[],null
COLUMNS,realtime,subscription,id,bigint,NO,null,null
COLUMNS,realtime,subscription,subscription_id,uuid,NO,null,null
COLUMNS,realtime,subscription_id_seq,is_called,boolean,NO,null,null
COLUMNS,realtime,subscription_id_seq,last_value,bigint,NO,null,null
COLUMNS,realtime,subscription_id_seq,log_cnt,bigint,NO,null,null
COLUMNS,realtime,subscription_subscription_id_entity_filters_action_filter_key,action_filter,text,YES,null,null
COLUMNS,realtime,subscription_subscription_id_entity_filters_action_filter_key,entity,regclass,YES,null,null
